,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor
,上证50,沪深300,中证500,中证1000,恒生指数,中债国债,中债企业债,中证转债,布伦特原油,沪金,标普500,美元兑人民币,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子,流动性因子
2021-01-29,-3.522965,-3.989105,-4.493506,-6.417031,-4.033485,-0.313835,-0.188646,-3.874694,-0.272307,-0.657053,-3.368102,-0.201398,-1.434974,0.745358,0.352461,-0.696022,0.376069,-0.330550,-0.081445
2021-02-05,3.376513,2.426412,-1.688677,-4.192246,3.491504,-0.085960,0.004143,-2.287868,7.997279,-2.735749,4.541986,0.345222,1.528037,0.452455,0.191269,-0.701477,0.506552,7.327005,-2.146492
2021-02-12,4.772947,5.746000,4.470688,4.179364,2.976528,0.073509,0.006012,2.820924,4.991628,2.043240,1.227376,-0.213492,2.726639,1.930608,0.016657,0.540146,-0.617011,2.895036,-1.765102
2021-03-05,-1.831429,-1.395647,0.613151,2.047908,0.406616,0.125574,0.167342,0.472285,7.741471,-3.553603,0.804648,0.235238,0.200544,-2.113442,-0.205521,-0.047818,1.148122,7.978307,1.338994
2021-03-12,-1.532662,-2.236908,-2.869162,-3.720639,-1.239920,0.055428,0.122218,0.318147,-0.705801,1.159821,2.605067,0.370316,1.019712,1.566133,0.002634,-0.089929,-0.326694,-0.666078,-0.149139
2021-03-19,-3.375122,-2.743825,-0.253891,0.486510,0.870316,0.083289,0.076154,0.016288,-7.221948,1.894568,-0.769818,0.181566,-1.019696,0.450384,-0.139612,0.295242,0.261436,-4.463169,1.678200
2021-03-26,0.502944,0.615209,0.725490,0.805061,-2.229595,0.202570,0.141045,-0.574393,-0.186625,-0.386974,1.557910,0.613047,-2.078252,2.661045,-0.175513,0.476851,0.920466,-0.440162,0.031030
2021-04-02,2.435889,2.423109,1.189545,0.946275,2.049380,0.082467,0.085163,0.585251,0.620734,1.016009,1.134056,0.299033,-1.330466,5.226997,-0.018974,0.298310,0.172325,1.235728,0.894927
2021-04-09,-2.879313,-2.475782,0.136362,0.599809,-0.832584,0.018927,0.064151,0.373852,-2.617499,0.533737,2.673717,-0.219606,1.747572,-0.037700,0.046171,0.145935,-0.832029,-3.850218,1.057171
2021-04-16,-1.896206,-1.382932,0.068672,-0.480501,0.939549,0.323015,0.180103,-0.284326,5.754653,0.241669,1.363229,-0.439136,1.074373,-0.961765,-0.374009,0.730322,-0.653177,4.913423,0.518759
2021-04-23,2.177844,3.351692,1.924160,1.317380,0.375683,0.173004,0.192159,0.718728,-2.412681,0.625620,-0.126716,-0.476494,3.233642,-1.781425,-0.103531,0.092057,-0.767460,-1.785246,-1.167514
2021-04-30,-0.936087,-0.233241,0.354513,-1.108926,-1.224399,0.059325,0.070655,-0.002692,1.992007,-1.190426,0.023920,-0.294722,2.449466,0.787610,0.019736,-0.319656,0.461183,1.619338,1.045355
2021-05-07,-2.461249,-2.518745,-0.638278,-0.974360,-0.398465,0.179387,0.130302,0.282300,2.644635,2.566838,1.222539,-0.123700,4.497873,-3.406818,-0.072010,-0.186884,-1.156969,1.838649,0.719366
2021-05-14,2.800071,2.266666,1.254595,2.225329,-2.059036,0.094758,0.217854,0.882076,0.803217,0.670721,-1.397759,-0.190490,-1.555931,-1.731801,-0.122819,-0.335347,0.099691,0.694513,-0.726907
2021-05-21,-0.606310,0.459905,0.031562,0.276570,1.525607,0.249071,0.180769,0.220636,-3.447852,1.924131,-0.431954,-0.263880,-2.728779,1.382684,-0.299927,0.724484,-0.332709,-3.491482,0.122231
2021-05-28,4.970357,3.576407,2.126568,3.248506,2.313191,-0.069886,0.164890,1.638129,3.810829,0.250710,1.154323,-0.809934,3.309557,1.160123,0.082626,-0.722693,0.011110,1.262382,-1.011351
2021-06-04,-1.281509,-0.732073,0.372526,1.356949,-0.710896,-0.063974,0.096844,0.078335,3.796575,-2.263663,0.611343,0.323825,-1.976826,1.776742,0.147787,-0.246232,0.122108,3.066357,0.903556
2021-06-11,-0.999358,-1.095930,0.489726,0.984979,-0.263050,-0.067605,-0.004256,-0.164575,1.303040,1.889926,0.414041,-0.162561,0.264387,-1.370109,0.281635,-0.786472,0.464858,1.723194,0.719363
